id,SDG_001_RAW,SDG_002_RAW,SDG_003_RAW,SDG_004_RAW,SDG_005_RAW,SDG_006_RAW,SDG_007_RAW,SDG_008_RAW,SDG_009_RAW,SDG_010_RAW,SDG_010_1_RAW,SDG_011_RAW,SDG_011_1_RAW,SDG_012_RAW,SDG_001_DIR,SDG_002_DIR,SDG_003_DIR,SDG_004_DIR,SDG_005_DIR,SDG_006_DIR,SDG_007_DIR,SDG_008_DIR,SDG_009_DIR,SDG_010_DIR,SDG_010_1_DIR,SDG_011_DIR,SDG_011_1_DIR,SDG_012_DIR,SDG_RAW_NA,SDG_DIR_NA
h1x9g6sjrs,,eo6ai@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,Si,,No,,eo6ai@gmail.com,,0,,,5,,,1,,1,,0,0,0
h8dfofhvsb,,anM8L@gmail.com,,Femenino,,,Más de 1.500.000,,,Si,,Si,,Si,,anM8L@gmail.com,,0,,,8,,,1,,1,,1,0,0
hdtb13mmor,,nRPCN4i7@gmail.com,,Femenino,,,100 mil – 199 mil,,,Si,,Si,,No,,nRPCN4i7@gmail.com,,0,,,2,,,1,,1,,0,0,0
hjk5lhv6bh,,jA7euE1w@gmail.com,,Femenino,,,800 mil – 999 mil,,,Si,,No,NA,No,,jA7euE1w@gmail.com,,0,,,6,,,1,,0,NA,0,1,1
hnwz3n1x6l,,6rd8WFTsC@gmail.com,,Masculino,,,200 mil – 399 mil,,,No,NA,Si,,Si,,6rd8WFTsC@gmail.com,,1,,,3,,,0,NA,1,,1,1,1
hov7c4x4b9,,bhdYDSLNC@gmail.com,,No binario,,,600 mil – 799 mil,,,No,NA,No,NA,Si,,bhdYDSLNC@gmail.com,,0,,,5,,,0,NA,0,NA,1,2,2
hvb9n26qad,,HLT1xeaLa@gmail.com,,No binario,,,400 mil – 599 mil,,,Si,,Si,,Si,,HLT1xeaLa@gmail.com,,0,,,4,,,1,,1,,1,0,0
hxjxf5t7sf,,gVWDaIIX@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,No,NA,Si,,gVWDaIIX@gmail.com,,1,,,1,,,0,NA,0,NA,1,2,2
hzxmlt4vqa,,aZA3F@gmail.com,,Femenino,,,Más de 1.500.000,,,Si,,Si,,Si,,aZA3F@gmail.com,,0,,,8,,,1,,1,,1,0,0
jxavvx33u1,,uML6fuQ@gmail.com,,Masculino,,,600 mil – 799 mil,,,Si,,No,NA,No,,uML6fuQ@gmail.com,,1,,,5,,,1,,0,NA,0,1,1
k5jdafw8jo,,CKC0BvD@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,Si,,No,NA,Si,,CKC0BvD@gmail.com,,1,,,7,,,1,,0,NA,1,1,1
k61mmqq74b,,Guji9@gmail.com,,No binario,,,Menos de 100 mil,,,Si,,No,NA,No,,Guji9@gmail.com,,0,,,1,,,1,,0,NA,0,1,1
kcjs9my0kw,,DXrf6Pn@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,Si,,Si,,Si,,DXrf6Pn@gmail.com,,1,,,7,,,1,,1,,1,0,0
kcuj05m365,,vmDxUT9@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,No,NA,Si,,vmDxUT9@gmail.com,,0,,,2,,,1,,0,NA,1,1,1
kdf65a9ce8,,ABp0WU@gmail.com,,Femenino,,,200 mil – 399 mil,,,Si,,No,NA,No,,ABp0WU@gmail.com,,0,,,3,,,1,,0,NA,0,1,1
kjtm4pkgfv,,VWf6lu3@gmail.com,,Femenino,,,100 mil – 199 mil,,,No,NA,Si,,Si,,VWf6lu3@gmail.com,,0,,,2,,,0,NA,1,,1,1,1
ks5az3o4qg,,JrUhq@gmail.com,,Masculino,,,200 mil – 399 mil,,,Si,,Si,,Si,,JrUhq@gmail.com,,1,,,3,,,1,,1,,1,0,0
ktyyhwndcl,,TCEsFw4yZx@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,No,NA,No,,TCEsFw4yZx@gmail.com,,1,,,8,,,1,,0,NA,0,1,1
kyvg85eh82,,EvXJuQuC@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,No,NA,No,,EvXJuQuC@gmail.com,,0,,,5,,,0,NA,0,NA,0,2,2
l718otr1d9,,D6gEUx4u9@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,Si,,Si,,D6gEUx4u9@gmail.com,,0,,,7,,,0,NA,1,,1,1,1
ld3zyo4e32,,tUrloln@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,No,NA,Si,,tUrloln@gmail.com,,1,,,8,,,1,,0,NA,1,1,1
loaudn7e5x,,RGrQOwh@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,No,NA,No,,RGrQOwh@gmail.com,,1,,,8,,,1,,0,NA,0,1,1
lpzhvsyeyd,,jZ5qrP8D@gmail.com,,Femenino,,,100 mil – 199 mil,,,No,NA,Si,,Si,,jZ5qrP8D@gmail.com,,0,,,2,,,0,NA,1,,1,1,1
m3jcfwu8pf,,PHTFT9@gmail.com,,Femenino,,,600 mil – 799 mil,,,Si,,No,NA,Si,,PHTFT9@gmail.com,,0,,,5,,,1,,0,NA,1,1,1
m6s8gpnokc,,QUloXJPIO4@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,No,NA,No,NA,Si,,QUloXJPIO4@gmail.com,,0,,,7,,,0,NA,0,NA,1,2,2
m81yy8xu1v,,qptk6SBvu@gmail.com,,Masculino,,,Más de 1.500.000,,,Si,,No,NA,No,,qptk6SBvu@gmail.com,,1,,,8,,,1,,0,NA,0,1,1
m86u820c0d,,w1e7gJB@gmail.com,,Femenino,,,800 mil – 999 mil,,,Si,,No,NA,No,,w1e7gJB@gmail.com,,0,,,6,,,1,,0,NA,0,1,1
mdazzxxxzv,,VsTSZsp@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,No,NA,No,,VsTSZsp@gmail.com,,0,,,5,,,0,NA,0,NA,0,2,2
mfex11day9,,UmLDcgu5gw@gmail.com,,Masculino,,,600 mil – 799 mil,,,Si,,No,NA,Si,,UmLDcgu5gw@gmail.com,,1,,,5,,,1,,0,NA,1,1,1
mxblx7zq49,,bfsK4ee@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,Si,,Si,,bfsK4ee@gmail.com,,0,,,7,,,1,,1,,1,0,0
narw3xkj0g,,qgzfiy@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,Si,,Si,,qgzfiy@gmail.com,,0,,,7,,,1,,1,,1,0,0
ndy1kjrt2x,,OE1O0TGjEV@gmail.com,,Masculino,,,200 mil – 399 mil,,,No,NA,Si,,No,,OE1O0TGjEV@gmail.com,,1,,,3,,,0,NA,1,,0,1,1
nhpl9mxmjt,,g85EiLRS@gmail.com,,Femenino,,,600 mil – 799 mil,,,No,NA,No,NA,No,,g85EiLRS@gmail.com,,0,,,5,,,0,NA,0,NA,0,2,2
o04nf6v0nv,,V03N9wskUi@gmail.com,,Masculino,,,200 mil – 399 mil,,,Si,,Si,,Si,,V03N9wskUi@gmail.com,,1,,,3,,,1,,1,,1,0,0
o3c4rl62a2,,13pN5i@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,No,NA,No,NA,No,,13pN5i@gmail.com,,1,,,7,,,0,NA,0,NA,0,2,2
oakkqwsul4,,aPyhSga@gmail.com,,No binario,,,Menos de 100 mil,,,No,NA,Si,,Si,,aPyhSga@gmail.com,,0,,,1,,,0,NA,1,,1,1,1
oce5txv2mw,,I0P9lpC@gmail.com,,No binario,,,800 mil – 999 mil,,,No,NA,Si,,No,,I0P9lpC@gmail.com,,0,,,6,,,0,NA,1,,0,1,1
p4kyau28we,,W6SZShR@gmail.com,,Masculino,,,100 mil – 199 mil,,,Si,,Si,,Si,,W6SZShR@gmail.com,,1,,,2,,,1,,1,,1,0,0
p5aooz09fr,,HagiXu4v@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,Si,,No,,HagiXu4v@gmail.com,,0,,,2,,,1,,1,,0,0,0
p7tf9t3wdm,,4GMViuX@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,Si,,No,,4GMViuX@gmail.com,,1,,,1,,,0,NA,1,,0,1,1
phk1orszsr,,RNsaf2cv@gmail.com,,Femenino,,,400 mil – 599 mil,,,Si,,No,NA,No,,RNsaf2cv@gmail.com,,0,,,4,,,1,,0,NA,0,1,1
pjx4no33pr,,T4ck1Funr@gmail.com,,Femenino,,,800 mil – 999 mil,,,No,NA,Si,,No,,T4ck1Funr@gmail.com,,0,,,6,,,0,NA,1,,0,1,1
pp74ytekor,,lGK2QyPj0h@gmail.com,,Masculino,,,600 mil – 799 mil,,,Si,,Si,,No,,lGK2QyPj0h@gmail.com,,1,,,5,,,1,,1,,0,0,0
pq7v2hw009,,rXFcNQpbt@gmail.com,,Masculino,,,100 mil – 199 mil,,,No,NA,Si,,No,,rXFcNQpbt@gmail.com,,1,,,2,,,0,NA,1,,0,1,1
pruxnqgcbg,,KrpLrNmH@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,Si,,No,,KrpLrNmH@gmail.com,,0,,,7,,,0,NA,1,,0,1,1
pwq2s8v657,,XSLxF@gmail.com,,No binario,,,600 mil – 799 mil,,,Si,,Si,,Si,,XSLxF@gmail.com,,0,,,5,,,1,,1,,1,0,0
q0vest97y2,,t18j6Q@gmail.com,,Masculino,,,Menos de 100 mil,,,Si,,Si,,No,,t18j6Q@gmail.com,,1,,,1,,,1,,1,,0,0,0
q6ha3r44px,,cQe6t@gmail.com,,Masculino,,,200 mil – 399 mil,,,Si,,Si,,Si,,cQe6t@gmail.com,,1,,,3,,,1,,1,,1,0,0
qmhcr11zof,,6zKU1@gmail.com,,No binario,,,1.000.000 – 1.500.000,,,Si,,No,NA,No,,6zKU1@gmail.com,,0,,,7,,,1,,0,NA,0,1,1
qn3v3he69v,,AKNNb9zQ@gmail.com,,Femenino,,,Menos de 100 mil,,,Si,,No,NA,No,,AKNNb9zQ@gmail.com,,0,,,1,,,1,,0,NA,0,1,1
qra8ncc4q5,,YExn74pDC@gmail.com,,Masculino,,,1.000.000 – 1.500.000,,,Si,,Si,,Si,,YExn74pDC@gmail.com,,1,,,7,,,1,,1,,1,0,0
r1991ltgcs,,BeNhx9Gvkx@gmail.com,,Femenino,,,1.000.000 – 1.500.000,,,No,NA,Si,,Si,,BeNhx9Gvkx@gmail.com,,0,,,7,,,0,NA,1,,1,1,1
r7jzy3ct3c,,7hCE3M@gmail.com,,Masculino,,,800 mil – 999 mil,,,Si,,Si,,No,,7hCE3M@gmail.com,,1,,,6,,,1,,1,,0,0,0
ra287f6aca,,EjVuiyKChq@gmail.com,,Femenino,,,400 mil – 599 mil,,,No,NA,Si,,Si,,EjVuiyKChq@gmail.com,,0,,,4,,,0,NA,1,,1,1,1
rbkhuu3vwq,,WxCSg5bE@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,No,NA,No,,WxCSg5bE@gmail.com,,1,,,1,,,0,NA,0,NA,0,2,2
rowh9jet2t,,jMXY2i@gmail.com,,Femenino,,,800 mil – 999 mil,,,Si,,No,NA,No,,jMXY2i@gmail.com,,0,,,6,,,1,,0,NA,0,1,1
rqq545wznb,,4HLS9Cl@gmail.com,,Masculino,,,Menos de 100 mil,,,No,NA,Si,,Si,,4HLS9Cl@gmail.com,,1,,,1,,,0,NA,1,,1,1,1
rshpl3827a,,xPVWRBc@gmail.com,,No binario,,,100 mil – 199 mil,,,Si,,No,NA,No,,xPVWRBc@gmail.com,,0,,,2,,,1,,0,NA,0,1,1
