id,Report_001_RAW,Report_001_1_RAW,Report_001_2_RAW,Report_002_RAW,Report_001_DIR,Report_001_1_DIR,Report_001_2_DIR,Report_002_DIR,Report_RAW_NA,Report_DIR_NA,Report_informe_DIRd,Report_alias_DIRd,Report_SoloContacto_DIRd,Report_EmailFuturo_DIRd
bale3xl06k,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
brjht9nmu9,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
bwt12n9qj9,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
by7v8bl7of,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
c5el7ygpwu,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
c7fryfrpnh,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
c7ws8fexjx,"Si, deseo recibir el informe",,amqWrSy@gmail.com,"Si, acepto ser contactado en el futuro",1,,amqWrSy@gmail.com,1,0,0,1,,amqWrSy@gmail.com,amqWrSy@gmail.com
c8rjnz79uk,"Si, deseo recibir el informe",,9NEGzY2@gmail.com,"Si, acepto ser contactado en el futuro",1,,9NEGzY2@gmail.com,1,0,0,1,,9NEGzY2@gmail.com,9NEGzY2@gmail.com
chylxjtm09,"Si, deseo recibir el informe",,QZVCj@gmail.com,"Si, acepto ser contactado en el futuro",1,,QZVCj@gmail.com,1,0,0,1,,QZVCj@gmail.com,QZVCj@gmail.com
cj35eze74r,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
cuvccwkcqj,"Si, deseo recibir el informe",,Qu4xb@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,Qu4xb@gmail.com,0,0,0,1,,Qu4xb@gmail.com,NA
d3gr4hqn2z,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
d4qoclrg90,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
dbq0df9rfa,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
dmlwcyjwfw,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
dtpgk4je3a,"Si, deseo recibir el informe",,stXl4@gmail.com,"Si, acepto ser contactado en el futuro",1,,stXl4@gmail.com,1,0,0,1,,stXl4@gmail.com,stXl4@gmail.com
dygujm00v6,"Si, deseo recibir el informe",,811FRDGF@gmail.com,"Si, acepto ser contactado en el futuro",1,,811FRDGF@gmail.com,1,0,0,1,,811FRDGF@gmail.com,811FRDGF@gmail.com
e4jxvwy2w0,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
el7knnbhqc,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
er00j5kzhv,"Si, deseo recibir el informe",,pG7yZhUeGU@gmail.com,"Si, acepto ser contactado en el futuro",1,,pG7yZhUeGU@gmail.com,1,0,0,1,,pG7yZhUeGU@gmail.com,pG7yZhUeGU@gmail.com
f434fd4yec,"Si, deseo recibir el informe",,JiA3flz@gmail.com,"Si, acepto ser contactado en el futuro",1,,JiA3flz@gmail.com,1,0,0,1,,JiA3flz@gmail.com,JiA3flz@gmail.com
fkw2jdm33r,"Si, deseo recibir el informe",,50jo5NA@gmail.com,"Si, acepto ser contactado en el futuro",1,,50jo5NA@gmail.com,1,0,0,1,,50jo5NA@gmail.com,50jo5NA@gmail.com
fp5c2zkmq4,"Si, deseo recibir el informe",,8d2SoWf9@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,8d2SoWf9@gmail.com,0,0,0,1,,8d2SoWf9@gmail.com,NA
fu71sdtqp7,"Si, deseo recibir el informe",,pd8ukUOp@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,pd8ukUOp@gmail.com,0,0,0,1,,pd8ukUOp@gmail.com,NA
g4bda40oys,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
gfna40535s,"Si, deseo recibir el informe",,Q7LYB@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,Q7LYB@gmail.com,0,0,0,1,,Q7LYB@gmail.com,NA
gl63qscfdn,"Si, deseo recibir el informe",,qNgfqD3@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,qNgfqD3@gmail.com,0,0,0,1,,qNgfqD3@gmail.com,NA
gwym2q1qky,"Si, deseo recibir el informe",,1jnvCH@gmail.com,"Si, acepto ser contactado en el futuro",1,,1jnvCH@gmail.com,1,0,0,1,,1jnvCH@gmail.com,1jnvCH@gmail.com
h1x9g6sjrs,"Si, deseo recibir el informe",,qx4vU@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,qx4vU@gmail.com,0,0,0,1,,qx4vU@gmail.com,NA
h8dfofhvsb,"Si, deseo recibir el informe",,IYlSO5WQ@gmail.com,"Si, acepto ser contactado en el futuro",1,,IYlSO5WQ@gmail.com,1,0,0,1,,IYlSO5WQ@gmail.com,IYlSO5WQ@gmail.com
hdtb13mmor,"Si, deseo recibir el informe",,6TP0KGe@gmail.com,"Si, acepto ser contactado en el futuro",1,,6TP0KGe@gmail.com,1,0,0,1,,6TP0KGe@gmail.com,6TP0KGe@gmail.com
hjk5lhv6bh,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
hnwz3n1x6l,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
hov7c4x4b9,"Si, deseo recibir el informe",,46eFsnFp@gmail.com,"Si, acepto ser contactado en el futuro",1,,46eFsnFp@gmail.com,1,0,0,1,,46eFsnFp@gmail.com,46eFsnFp@gmail.com
hvb9n26qad,"Si, deseo recibir el informe",,HRkStLNTE@gmail.com,"Si, acepto ser contactado en el futuro",1,,HRkStLNTE@gmail.com,1,0,0,1,,HRkStLNTE@gmail.com,HRkStLNTE@gmail.com
hxjxf5t7sf,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
hzxmlt4vqa,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
jxavvx33u1,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
k5jdafw8jo,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
k61mmqq74b,"Si, deseo recibir el informe",,E6hbWib7aE@gmail.com,"Si, acepto ser contactado en el futuro",1,,E6hbWib7aE@gmail.com,1,0,0,1,,E6hbWib7aE@gmail.com,E6hbWib7aE@gmail.com
kcjs9my0kw,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
kcuj05m365,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
kdf65a9ce8,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
kjtm4pkgfv,"Si, deseo recibir el informe",,w8vscPk@gmail.com,"Si, acepto ser contactado en el futuro",1,,w8vscPk@gmail.com,1,0,0,1,,w8vscPk@gmail.com,w8vscPk@gmail.com
ks5az3o4qg,"Si, deseo recibir el informe",,TJNy7jR@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,TJNy7jR@gmail.com,0,0,0,1,,TJNy7jR@gmail.com,NA
ktyyhwndcl,"Si, deseo recibir el informe",,YZDZQSsiE@gmail.com,"Si, acepto ser contactado en el futuro",1,,YZDZQSsiE@gmail.com,1,0,0,1,,YZDZQSsiE@gmail.com,YZDZQSsiE@gmail.com
kyvg85eh82,"Si, deseo recibir el informe",,iZklQx@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,iZklQx@gmail.com,0,0,0,1,,iZklQx@gmail.com,NA
l718otr1d9,"Si, deseo recibir el informe",,ZCcYhQsAQr@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,ZCcYhQsAQr@gmail.com,0,0,0,1,,ZCcYhQsAQr@gmail.com,NA
ld3zyo4e32,"Si, deseo recibir el informe",,n6gwNmJcAF@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,n6gwNmJcAF@gmail.com,0,0,0,1,,n6gwNmJcAF@gmail.com,NA
loaudn7e5x,"Si, deseo recibir el informe",,GHQ0nP8@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,GHQ0nP8@gmail.com,0,0,0,1,,GHQ0nP8@gmail.com,NA
lpzhvsyeyd,"Si, deseo recibir el informe",,B49bY3w8RP@gmail.com,"Si, acepto ser contactado en el futuro",1,,B49bY3w8RP@gmail.com,1,0,0,1,,B49bY3w8RP@gmail.com,B49bY3w8RP@gmail.com
m3jcfwu8pf,"Si, deseo recibir el informe",,JQ6iFm@gmail.com,"Si, acepto ser contactado en el futuro",1,,JQ6iFm@gmail.com,1,0,0,1,,JQ6iFm@gmail.com,JQ6iFm@gmail.com
m6s8gpnokc,"Si, deseo recibir el informe",,70JJBFTASD@gmail.com,"Si, acepto ser contactado en el futuro",1,,70JJBFTASD@gmail.com,1,0,0,1,,70JJBFTASD@gmail.com,70JJBFTASD@gmail.com
m81yy8xu1v,"Si, deseo recibir el informe",,1KMgzS1XQR@gmail.com,"Si, acepto ser contactado en el futuro",1,,1KMgzS1XQR@gmail.com,1,0,0,1,,1KMgzS1XQR@gmail.com,1KMgzS1XQR@gmail.com
m86u820c0d,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
mdazzxxxzv,"Si, deseo recibir el informe",,aFUNx2UhsR@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,aFUNx2UhsR@gmail.com,0,0,0,1,,aFUNx2UhsR@gmail.com,NA
mfex11day9,"Si, deseo recibir el informe",,PiiJAeTs@gmail.com,"Si, acepto ser contactado en el futuro",1,,PiiJAeTs@gmail.com,1,0,0,1,,PiiJAeTs@gmail.com,PiiJAeTs@gmail.com
mxblx7zq49,"Si, deseo recibir el informe",,KHhaFkeT@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,KHhaFkeT@gmail.com,0,0,0,1,,KHhaFkeT@gmail.com,NA
narw3xkj0g,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
ndy1kjrt2x,"Si, deseo recibir el informe",,8ruda2Ih@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,8ruda2Ih@gmail.com,0,0,0,1,,8ruda2Ih@gmail.com,NA
nhpl9mxmjt,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
o04nf6v0nv,"Si, deseo recibir el informe",,P1k1tPxsG@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,P1k1tPxsG@gmail.com,0,0,0,1,,P1k1tPxsG@gmail.com,NA
o3c4rl62a2,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
oakkqwsul4,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
oce5txv2mw,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
p4kyau28we,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
p5aooz09fr,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
p7tf9t3wdm,"Si, deseo recibir el informe",,Dl0grFLYC@gmail.com,"Si, acepto ser contactado en el futuro",1,,Dl0grFLYC@gmail.com,1,0,0,1,,Dl0grFLYC@gmail.com,Dl0grFLYC@gmail.com
phk1orszsr,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
pjx4no33pr,"Si, deseo recibir el informe",,PmAGqgU@gmail.com,"Si, acepto ser contactado en el futuro",1,,PmAGqgU@gmail.com,1,0,0,1,,PmAGqgU@gmail.com,PmAGqgU@gmail.com
pp74ytekor,"Si, deseo recibir el informe",,qhHAv0WQ@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,qhHAv0WQ@gmail.com,0,0,0,1,,qhHAv0WQ@gmail.com,NA
pq7v2hw009,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
pruxnqgcbg,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
pwq2s8v657,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
q0vest97y2,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
q6ha3r44px,"Si, deseo recibir el informe",,yM301@gmail.com,"Si, acepto ser contactado en el futuro",1,,yM301@gmail.com,1,0,0,1,,yM301@gmail.com,yM301@gmail.com
qmhcr11zof,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
qn3v3he69v,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
qra8ncc4q5,"Si, deseo recibir el informe",,14OBO2veJ@gmail.com,"Si, acepto ser contactado en el futuro",1,,14OBO2veJ@gmail.com,1,0,0,1,,14OBO2veJ@gmail.com,14OBO2veJ@gmail.com
r1991ltgcs,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
r7jzy3ct3c,"Si, deseo recibir el informe",,BRxW0@gmail.com,"Si, acepto ser contactado en el futuro",1,,BRxW0@gmail.com,1,0,0,1,,BRxW0@gmail.com,BRxW0@gmail.com
ra287f6aca,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
rbkhuu3vwq,"Si, deseo recibir el informe",,xKUA2YHs@gmail.com,"Si, acepto ser contactado en el futuro",1,,xKUA2YHs@gmail.com,1,0,0,1,,xKUA2YHs@gmail.com,xKUA2YHs@gmail.com
rowh9jet2t,"Si, deseo recibir el informe",,74vAC1IcJt@gmail.com,"Si, acepto ser contactado en el futuro",1,,74vAC1IcJt@gmail.com,1,0,0,1,,74vAC1IcJt@gmail.com,74vAC1IcJt@gmail.com
rqq545wznb,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
rshpl3827a,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
rz2oaw3guc,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
rzjwbgjhcs,"Si, deseo recibir el informe",,dkogja@gmail.com,"Si, acepto ser contactado en el futuro",1,,dkogja@gmail.com,1,0,0,1,,dkogja@gmail.com,dkogja@gmail.com
s81pqwxoof,"Si, deseo recibir el informe",,VCFEZcmbN@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,VCFEZcmbN@gmail.com,0,0,0,1,,VCFEZcmbN@gmail.com,NA
s95x85yw24,"Si, deseo recibir el informe",,PzcfQ6lXp@gmail.com,"Si, acepto ser contactado en el futuro",1,,PzcfQ6lXp@gmail.com,1,0,0,1,,PzcfQ6lXp@gmail.com,PzcfQ6lXp@gmail.com
sbpyt6j1ha,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
t55y13od5j,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
t70dnfpakz,"Si, deseo recibir el informe",,2uncno@gmail.com,"Si, acepto ser contactado en el futuro",1,,2uncno@gmail.com,1,0,0,1,,2uncno@gmail.com,2uncno@gmail.com
tg7qgqq1tj,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
tgn2znz5zz,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
tlemko8z97,No deseo recibir el informe,NA,NA,"Si, acepto ser contactado en el futuro",0,NA,NA,1,2,2,0,NA,NA,NA
ucn3bqr9on,"Si, deseo recibir el informe",,NU5Zffb@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,NU5Zffb@gmail.com,0,0,0,1,,NU5Zffb@gmail.com,NA
ud2th5lzzu,No deseo recibir el informe,NA,NA,"No, no acepto que mis datos sean reutilizados",0,NA,NA,0,2,2,0,NA,NA,NA
v2avl317u0,"Si, deseo recibir el informe",,ZEPeWN@gmail.com,"No, no acepto que mis datos sean reutilizados",1,,ZEPeWN@gmail.com,0,0,0,1,,ZEPeWN@gmail.com,NA
